month,UV_mean_2017,UV_mean_2018,UV_mean_2019,UV_mean_2020,UV_mean_2021,mean
01,4.7184665012406946,5.124170667108095,4.82783829611249,4.094877624549634,4.621567824648469,4.677384182731877
02,4.485514652014652,3.9198799871742014,4.127401098901099,3.4195742705570296,3.892450428172368,3.96896408736387
03,2.922328784119107,3.013520142278104,3.0955645161290324,3.0486004962779156,2.724307692307692,2.96086432622237
04,2.306710683760684,2.2473981794093767,2.2168747863247864,2.3841606837606837,2.136880341880342,2.258404935027175
05,1.607704301075269,1.567490386296102,1.571641852770885,1.5054602977667493,1.5267493796526055,1.555809243512322
06,1.1698900628823203,1.151868652091582,1.2480918803418803,1.234571794871795,1.1328358974358974,1.187451657524695
07,1.4795494113745649,1.2496320814767665,1.484071546732837,1.2418511166253101,1.1772870140612075,1.3264782340541372
08,2.0222129859387925,1.7954387923904052,1.906336228287841,1.8873870967741935,1.7573271298593878,1.873740446650124
09,2.9509628205128204,2.259863675213675,2.835488888888889,2.516523913322221,2.5096115384615385,2.6144901672798286
10,2.959833746898263,2.599340777502068,3.2435384615384613,3.112375103391232,3.140261786600496,3.011069975186104
11,3.6688700854700853,3.957567094017094,4.107490598290598,4.324571794871795,3.302852136752137,3.872270341880342
12,4.733299421009098,4.246268267439453,4.119970635675586,4.107120347394541,4.109584367245658,4.263248607752867
