hour,2017,2018,2019,2020,2021,mean
0,0.01,0.01,0.01,0.01,0.01,0.01
1,0.01,0.01,0.01,0.01,0.01,0.01
2,0.01,0.01,0.01,0.01,0.01,0.01
3,0.01,0.01,0.01,0.01,0.01,0.01
4,0.03,0.03,0.03,0.03,0.03,0.03
5,0.43,0.38,0.38,0.4,0.4,0.39799999999999996
6,1.85,1.65,1.62,1.79,1.7,1.722
7,4.64,4.13,4.03,4.48,4.36,4.328
8,8.0,7.48,7.21,8.54,7.91,7.828
9,12.45,11.45,11.17,11.5,11.21,11.556000000000001
10,14.9,13.54,13.7,14.52,14.05,14.142
11,16.59,14.88,16.1,15.42,15.88,15.774000000000001
12,15.28,14.91,14.46,15.47,15.89,15.201999999999998
13,13.56,13.8,13.08,13.16,14.57,13.633999999999997
14,10.5,10.46,11.18,9.71,11.07,10.584
15,6.76,6.63,6.9,6.35,7.11,6.75
16,3.3,3.26,3.16,3.06,3.63,3.282
17,1.08,1.16,1.13,1.03,1.12,1.104
18,0.17,0.18,0.17,0.17,0.18,0.17400000000000002
19,0.01,0.1,0.95,0.02,0.07,0.23000000000000004
20,0.01,0.02,0.01,0.04,0.02,0.02
21,0.01,0.01,0.01,0.03,0.01,0.013999999999999999
22,0.01,0.01,0.02,0.01,0.07,0.024
23,0.02,0.01,0.01,0.01,0.1,0.030000000000000006
