hour,2017,2018,2019,2020,2021,mean
0,0.01,0.01,0.03,0.01,0.01,0.014000000000000002
1,0.01,0.01,0.01,0.01,0.01,0.01
2,0.01,0.01,0.01,0.01,0.01,0.01
3,0.01,0.01,0.01,0.01,0.01,0.01
4,0.02,0.04,0.04,0.04,0.03,0.034
5,0.25,0.39,0.38,0.35,0.33,0.34
6,1.24,1.66,1.48,1.41,1.27,1.4120000000000001
7,3.36,3.53,3.44,3.31,3.27,3.382
8,6.23,6.29,6.14,5.9,5.82,6.0760000000000005
9,9.37,9.75,9.26,8.7,9.02,9.219999999999999
10,11.95,11.58,12.2,12.67,11.81,12.042000000000002
11,14.62,13.07,13.18,13.81,13.53,13.642
12,15.05,13.57,13.28,13.56,13.68,13.828
13,14.15,12.47,12.34,12.88,12.69,12.906
14,11.38,10.32,9.89,9.73,10.07,10.278000000000002
15,8.15,7.32,7.05,6.7,7.14,7.272
16,4.4,4.18,4.1,3.82,4.0,4.1
17,1.71,1.72,1.69,1.58,1.7,1.6799999999999997
18,0.42,0.42,0.48,0.41,0.48,0.442
19,0.04,0.05,0.06,0.04,0.05,0.048
20,0.01,0.01,0.06,0.01,0.01,0.019999999999999997
21,0.01,0.01,0.01,0.01,0.01,0.01
22,0.01,0.01,0.01,0.01,0.04,0.016
23,0.01,0.08,0.02,0.01,0.01,0.026000000000000002
