month,UV_mean_2017,UV_mean_2018,UV_mean_2019,UV_mean_2020,UV_mean_2021,mean
01,4.533093435910163,3.9040727408143,3.8546104218362283,3.9009859387923904,4.058341953904084,4.050220898251434
02,4.247102889326434,4.20605910652921,4.763506160399396,4.514818957513595,4.151001373626373,4.376497697479001
03,4.040840777502067,4.585577944065884,4.237677652621332,4.717220016542598,4.215471095629095,4.359357497272195
04,3.640267094017094,3.773290087775637,3.7492102564102567,3.9987346153846155,3.907513247863248,3.8138030602901702
05,3.4015721969383534,3.1342142266335817,3.1482721257237385,3.311166253101737,3.4006285690467255,3.279170674288827
06,2.8836232629953678,2.737732905982906,3.0034021367521366,2.93092094017094,2.7831991452991454,2.867775678240099
07,3.1592314436002336,2.8221813959275077,3.256468569065343,3.130994623655914,2.9524506681007736,3.064265340069954
08,3.8940969636799867,3.323775725702928,3.803356079404466,3.7176327543424317,3.438560380479735,3.63548438072191
09,4.371107121484141,3.9133649572649576,4.074794444444445,4.208246153846154,4.173790170940171,4.148260569595974
10,4.21507900397088,4.372563275434243,4.062784119106699,4.677586321381142,4.3976443341604625,4.345131410810685
11,4.316039752083778,4.168972644642545,4.406086752136752,4.511371367521368,4.474444871794872,4.375383077635862
12,4.442039757636122,4.158033417428347,4.079185277088503,4.048648764217908,3.973022746071133,4.140185992488403
