hour,2017,2018,2019,2020,2021,mean
0,0.0,0.01,0.04,0.01,0.33,0.078
1,0.0,0.01,0.04,0.01,1.02,0.21600000000000003
2,0.1,0.14,0.14,0.04,0.01,0.086
3,0.0,0.07,0.01,0.03,0.01,0.024
4,0.0,0.01,0.01,0.08,0.05,0.030000000000000006
5,0.0,0.01,0.01,0.02,0.05,0.018
6,0.18,0.24,0.21,0.21,0.23,0.21400000000000002
7,1.46,1.42,1.27,1.6,1.39,1.428
8,4.15,4.05,3.79,4.96,4.03,4.196
9,8.09,8.14,7.61,7.95,8.04,7.965999999999999
10,12.57,12.88,10.51,12.97,12.7,12.325999999999999
11,15.96,16.27,15.39,15.5,15.83,15.790000000000001
12,17.52,18.14,16.48,16.71,18.92,17.554
13,18.47,18.48,16.65,16.1,17.56,17.452
14,15.52,16.77,15.57,15.15,15.81,15.764
15,11.8,12.14,11.61,10.7,12.68,11.786
16,6.87,8.11,6.47,6.92,7.28,7.13
17,3.15,3.27,3.08,3.05,3.1,3.13
18,0.75,0.93,0.81,0.76,0.75,0.8
19,0.03,0.05,0.06,0.04,0.01,0.038000000000000006
20,0.0,0.02,0.01,0.04,0.03,0.02
21,0.0,0.01,0.01,0.01,0.05,0.016
22,0.0,0.04,0.05,0.01,0.12,0.044
23,0.0,0.19,0.01,0.02,0.01,0.046
