hour,2017,2018,2019,2020,2021,mean
0,0.01,0.03,0.03,0.01,0.01,0.018
1,0.01,0.01,0.02,0.02,0.01,0.013999999999999999
2,0.01,0.01,0.02,0.03,0.01,0.016
3,0.01,0.01,0.01,0.02,0.01,0.012000000000000002
4,0.03,0.03,0.03,0.03,0.03,0.03
5,0.34,0.36,0.35,0.39,0.33,0.35400000000000004
6,1.26,1.3,1.26,1.38,1.23,1.2859999999999998
7,3.12,3.18,3.05,3.24,2.87,3.092
8,5.63,5.66,5.48,5.88,5.44,5.617999999999999
9,8.62,8.59,8.77,8.76,9.49,8.846000000000002
10,13.6,11.28,11.86,11.86,10.97,11.914
11,13.41,13.12,13.05,13.72,12.8,13.219999999999999
12,13.33,13.05,13.62,14.48,13.07,13.510000000000003
13,12.83,12.86,12.83,14.2,12.1,12.963999999999999
14,11.23,10.32,10.54,12.44,10.83,11.072000000000001
15,8.4,7.85,7.78,8.62,8.3,8.19
16,4.97,4.73,4.51,5.37,4.98,4.912
17,2.32,2.46,2.37,2.75,2.56,2.4919999999999995
18,0.81,0.89,0.84,1.0,0.96,0.9
19,0.17,0.17,0.18,0.2,0.2,0.18399999999999997
20,0.01,0.01,0.01,0.02,0.03,0.016
21,0.02,0.01,0.01,0.01,0.03,0.016
22,0.02,0.03,0.01,0.01,0.02,0.018000000000000002
23,0.01,0.03,0.01,0.01,0.01,0.014
