hour,2017,2018,2019,2020,2021,mean
0,0.01,0.01,0.01,0.01,0.01,0.01
1,0.01,0.01,0.01,0.01,0.01,0.01
2,0.01,0.01,0.01,0.01,0.01,0.01
3,0.01,0.01,0.01,0.01,0.01,0.01
4,0.01,0.01,0.01,0.04,0.01,0.016
5,0.21,0.22,0.23,0.22,0.22,0.22000000000000003
6,1.05,1.02,1.07,1.11,1.04,1.0580000000000003
7,2.85,2.81,2.97,2.98,2.77,2.8760000000000003
8,5.51,5.5,5.58,5.92,5.61,5.624
9,8.64,8.49,9.02,9.27,9.25,8.934000000000001
10,11.82,11.76,11.76,12.09,11.94,11.873999999999999
11,13.79,13.74,14.0,13.6,14.32,13.89
12,14.04,14.43,13.94,14.21,14.74,14.272
13,13.73,13.61,13.21,13.61,14.49,13.729999999999999
14,11.77,11.27,10.93,11.41,11.41,11.357999999999999
15,8.59,8.79,7.94,8.7,8.63,8.53
16,5.09,4.57,4.45,4.96,4.94,4.8020000000000005
17,2.23,2.05,2.0,2.2,2.18,2.132
18,0.62,0.61,0.59,0.63,0.65,0.6199999999999999
19,0.07,0.07,0.07,0.08,0.08,0.07400000000000001
20,0.01,0.01,0.01,0.01,0.04,0.016
21,0.01,0.01,0.01,0.01,0.04,0.016
22,0.01,0.01,0.01,0.01,0.04,0.016
23,0.01,0.02,0.01,0.01,0.01,0.012
