hour,2017,2018,2019,2020,2021,mean
0,0.01,0.02,0.02,0.02,0.02,0.018000000000000002
1,0.01,0.02,0.02,0.06,0.02,0.026000000000000002
2,0.01,0.02,0.02,0.02,0.02,0.018000000000000002
3,0.01,0.02,0.02,0.02,0.02,0.018000000000000002
4,0.03,0.06,0.06,0.06,0.05,0.052000000000000005
5,0.34,0.54,0.49,0.52,0.44,0.466
6,1.47,1.96,1.83,1.77,1.52,1.7099999999999997
7,3.71,4.19,4.31,4.32,3.83,4.072
8,7.0,7.7,6.97,7.18,7.43,7.256
9,10.45,10.71,10.03,11.63,11.02,10.768
10,12.85,13.51,13.43,13.58,14.94,13.662
11,14.66,14.97,13.86,15.6,15.68,14.954000000000002
12,14.32,14.42,14.11,16.09,16.23,15.034
13,13.56,13.93,13.69,14.12,14.98,14.056000000000001
14,10.88,10.12,10.29,11.35,11.56,10.84
15,7.57,6.7,6.94,7.02,7.79,7.204000000000001
16,4.42,3.76,3.8,3.82,4.38,4.036
17,1.44,1.46,1.57,1.6,1.83,1.58
18,0.31,0.36,0.39,0.4,0.46,0.384
19,0.02,0.03,0.04,0.04,0.04,0.034
20,0.01,0.02,0.06,0.02,0.02,0.026000000000000002
21,0.01,0.02,0.02,0.04,0.02,0.022
22,0.01,0.02,0.03,0.02,0.02,0.02
23,0.01,0.02,0.02,0.02,0.03,0.02
