hour,2017,2018,2019,2020,2021,mean
0,0.01,0.01,0.01,0.01,0.01,0.01
1,0.01,0.01,0.01,0.01,0.01,0.01
2,0.01,0.01,0.01,0.01,0.01,0.01
3,0.01,0.01,0.01,0.01,0.01,0.01
4,0.07,0.07,0.06,0.07,0.07,0.068
5,0.42,0.41,0.42,0.48,0.42,0.43
6,1.37,1.38,1.4,1.59,1.41,1.4300000000000002
7,3.15,3.24,3.35,3.56,3.31,3.322
8,5.87,5.39,6.26,6.17,5.78,5.894
9,9.36,8.32,8.17,9.51,8.76,8.824
10,11.79,10.76,10.23,11.23,11.1,11.022000000000002
11,13.01,12.08,11.44,12.78,13.72,12.606
12,13.08,12.65,11.77,13.22,13.11,12.766
13,12.11,11.85,11.74,12.03,12.83,12.112
14,10.3,9.53,9.74,10.18,10.46,10.042
15,7.08,6.84,7.27,7.2,7.61,7.2
16,4.53,4.66,4.07,4.32,4.69,4.454000000000001
17,2.05,2.14,2.07,2.2,2.26,2.144
18,0.61,0.65,0.65,0.63,0.67,0.642
19,0.14,0.14,0.14,0.15,0.15,0.14400000000000002
20,0.01,0.01,0.01,0.01,0.01,0.01
21,0.01,0.01,0.01,0.01,0.01,0.01
22,0.01,0.04,0.01,0.01,0.01,0.016
23,0.02,0.03,0.01,0.01,0.01,0.016
