Timeline,New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory
Jun-1981,5234889.00,3946917.00,2345208.00,1318769.00,1300056.00,427224.00,122616.00,227581.00
Sep-1981,5249455.00,3957333.00,2367477.00,1321235.00,1311284.00,427925.00,125186.00,228782.00
Dec-1981,5266894.00,3968398.00,2387943.00,1325176.00,1320221.00,428283.00,127718.00,229484.00
Mar-1982,5286119.00,3980826.00,2406355.00,1328670.00,1329700.00,429445.00,129593.00,230990.00
Jun-1982,5303580.00,3992870.00,2424586.00,1331108.00,1338899.00,429845.00,130314.00,233045.00
Sep-1982,5315846.00,4002731.00,2442912.00,1334090.00,1348096.00,430308.00,131517.00,233778.00
Dec-1982,5328221.00,4012687.00,2456475.00,1337783.00,1354971.00,430974.00,132784.00,234996.00
Mar-1983,5344027.00,4025254.00,2469709.00,1342193.00,1361874.00,431665.00,134529.00,236991.00
Jun-1983,5352959.00,4035702.00,2482282.00,1345775.00,1369050.00,432805.00,135916.00,238983.00
Sep-1983,5363744.00,4045185.00,2493373.00,1349553.00,1375244.00,433909.00,137942.00,240055.00
Dec-1983,5374915.00,4054498.00,2503285.00,1353208.00,1381011.00,435100.00,139519.00,241960.00
Mar-1984,5389180.00,4066209.00,2513443.00,1356511.00,1385878.00,436178.00,140666.00,243476.00
Jun-1984,5402729.00,4076492.00,2523859.00,1360048.00,1391237.00,437760.00,142154.00,245112.00
Sep-1984,5416536.00,4086549.00,2535976.00,1362611.00,1397817.00,438866.00,143934.00,246259.00
Dec-1984,5431752.00,4097640.00,2547078.00,1365333.00,1403032.00,440070.00,145293.00,247084.00
Mar-1985,5451549.00,4109741.00,2559452.00,1368721.00,1410377.00,441324.00,146662.00,248839.00
Jun-1985,5464512.00,4120068.00,2571218.00,1371197.00,1418564.00,442828.00,148536.00,251389.00
Sep-1985,5478254.00,4129796.00,2583368.00,1373324.00,1427370.00,443548.00,150596.00,253446.00
Dec-1985,5496467.00,4140421.00,2597100.00,1376838.00,1436900.00,444576.00,152356.00,255908.00
Mar-1986,5516377.00,4151053.00,2610205.00,1380317.00,1447254.00,445723.00,153284.00,257285.00
Jun-1986,5531526.00,4160856.00,2624595.00,1382550.00,1459019.00,446473.00,154421.00,258910.00
Sep-1986,5549928.00,4171942.00,2636477.00,1384840.00,1468413.00,447325.00,155571.00,260545.00
Dec-1986,5574251.00,4183842.00,2648778.00,1387499.00,1477398.00,448235.00,156578.00,262188.00
Mar-1987,5596207.00,4197414.00,2662654.00,1390436.00,1486905.00,448597.00,157775.00,264053.00
Jun-1987,5616736.00,4210111.00,2675107.00,1392764.00,1496248.00,449226.00,158205.00,265477.00
Sep-1987,5639899.00,4223707.00,2688129.00,1395947.00,1505294.00,449373.00,159142.00,267375.00
Dec-1987,5666219.00,4234945.00,2703516.00,1398959.00,1513355.00,449820.00,159040.00,268787.00
Mar-1988,5689397.00,4249985.00,2723992.00,1402329.00,1525576.00,450572.00,158959.00,270957.00
