Burden of Disease group condition,Risk factor, Expenditure attributable to risk factor ($) ,Percentage of expenditure attributable to risk factor (%)
Acute lymphoblastic leukaemia (ALL),Occupational exposures & hazards,793177,1
Acute lymphoblastic leukaemia (ALL),Overweight (including obesity),2923162,3.8
Acute lymphoblastic leukaemia (ALL),Tobacco use,1344593,1.7
Acute lymphoblastic leukaemia (ALL),Risk factor undetermined or not relevant,72791152,93.5
Acute myeloid leukaemia (AML),Occupational exposures & hazards,3209842,3
Acute myeloid leukaemia (AML),Overweight (including obesity),10674118,10.1
Acute myeloid leukaemia (AML),Tobacco use,10017902,9.5
Acute myeloid leukaemia (AML),Risk factor undetermined or not relevant,81380339,77.3
Age-related macular degeneration,Tobacco use,24249932,5.2
Age-related macular degeneration,Risk factor undetermined or not relevant,444090739,94.8
Alcohol use disorders,Alcohol use,488160890,98.4
Alcohol use disorders,Intimate partner violence,7780837,1.6
Anxiety disorders,Bullying victimisation,22287358,1.2
Anxiety disorders,Child abuse & neglect,433161081,24.2
Anxiety disorders,Illicit drug use,8214711,0.5
Anxiety disorders,Intimate partner violence,117083962,6.6
Anxiety disorders,Risk factor undetermined or not relevant,1205578912,67.5
Aortic aneurysm,High blood pressure,44796078,27.2
Aortic aneurysm,Tobacco use,15069171,9.1
Aortic aneurysm,Risk factor undetermined or not relevant,105089532,63.7
Asbestosis,Occupational exposures & hazards,15976755,100
Asthma,Occupational exposures & hazards,39899782,5.1
Asthma,Overweight (including obesity),176629394,22.7
Asthma,Tobacco use,51390046,6.6
Asthma,Risk factor undetermined or not relevant,510192037,65.6
Atrial fibrillation and flutter,Alcohol use,91955044,7.7
Atrial fibrillation and flutter,High blood pressure,298205111,24.8
Atrial fibrillation and flutter,Overweight (including obesity),211026386,17.6
Atrial fibrillation and flutter,Tobacco use,81294318,6.8
Atrial fibrillation and flutter,Risk factor undetermined or not relevant,518385374,43.2
Back pain and problems,Occupational exposures & hazards,368230699,11.4
Back pain and problems,Overweight (including obesity),319491817,9.9
Back pain and problems,Tobacco use,108280319,3.4
Back pain and problems,Risk factor undetermined or not relevant,2429674425,75.3
Bladder cancer,High blood plasma glucose,9901405,7.2
Bladder cancer,Tobacco use,40446082,29.3
Bladder cancer,Risk factor undetermined or not relevant,87462402,63.5
Bowel cancer,Alcohol use,44338041,4.4
Bowel cancer,Dietary risks,210358802,20.9
Bowel cancer,High blood plasma glucose,49260679,4.9
Bowel cancer,Overweight (including obesity),98495757,9.8
Bowel cancer,Physical inactivity,89199229,8.9
Bowel cancer,Tobacco use,54910343,5.5
Bowel cancer,Risk factor undetermined or not relevant,458937896,45.6
Breast cancer,Alcohol use,127442185,9.8
Breast cancer,Dietary risks,37398744,2.9
Breast cancer,High blood plasma glucose,46128953,3.6
Breast cancer,Overweight (including obesity),83902898,6.5
Breast cancer,Physical inactivity,35852084,2.8
Breast cancer,Tobacco use,58157680,4.5
Breast cancer,Risk factor undetermined or not relevant,906438435,70
Cardiomyopathy,High blood pressure,42633770,28.9
Cardiomyopathy,Risk factor undetermined or not relevant,104811830,71.1
Cataract,High blood plasma glucose,100934688,6.7
Cataract,Overweight (including obesity),162339951,10.7
Cataract,Tobacco use,77880300,5.1
Cataract,Risk factor undetermined or not relevant,1173765295,77.5
Cervical cancer,Tobacco use,3291973,6.5
Cervical cancer,Unsafe sex,47375210,93.5
Cervical cancer,Risk factor undetermined or not relevant,1052,0
Chlamydia,Unsafe sex,2781124,100
Chronic kidney disease,High blood plasma glucose,244700204,14
Chronic kidney disease,High blood pressure,433726776,24.7
Chronic kidney disease,Impaired kidney function,1753236103,100
Chronic kidney disease,Overweight (including obesity),564215999,32.2
Chronic kidney disease,All risk factors combined,1753236103,100
Chronic liver disease,Alcohol use,30559343,16.1
